ID,QUESTION_ID,GENERATED,GROUND_TRUTH,BLEU_SCORE
0,0.0,"Yes, I have been given the opportunity to work in different teams and departments within the organization.",Executive/Senior Management,0
0,0.0,"Yes, I have been given the opportunity to work in different teams and departments within the organization.",Manager,0
0,0.0,"Yes, I have been given the opportunity to work in different teams and departments within the organization.",Staff/Employee,0
1,0.0,"No, I have not been given the opportunity to work in different teams and departments within the organization.",Executive/Senior Management,0
1,0.0,"No, I have not been given the opportunity to work in different teams and departments within the organization.",Manager,0
1,0.0,"No, I have not been given the opportunity to work in different teams and departments within the organization.",Staff/Employee,0
2,0.0,I don't know.,Executive/Senior Management,0
2,0.0,I don't know.,Manager,0
2,0.0,I don't know.,Staff/Employee,0
0,1.0,Very satisfied,Less than 1 year,0
0,1.0,Very satisfied,1-3 years,0
0,1.0,Very satisfied,3-5 years,0
0,1.0,Very satisfied,5-10 years,0
0,1.0,Very satisfied,More than 10 years,0
1,1.0,Somewhat satisfied,Less than 1 year,0
1,1.0,Somewhat satisfied,1-3 years,0
1,1.0,Somewhat satisfied,3-5 years,0
1,1.0,Somewhat satisfied,5-10 years,0
1,1.0,Somewhat satisfied,More than 10 years,0
2,1.0,Neutral,Less than 1 year,0
2,1.0,Neutral,1-3 years,0
2,1.0,Neutral,3-5 years,0
2,1.0,Neutral,5-10 years,0
2,1.0,Neutral,More than 10 years,0
3,1.0,Somewhat dissatisfied,Less than 1 year,0
3,1.0,Somewhat dissatisfied,1-3 years,0
3,1.0,Somewhat dissatisfied,3-5 years,0
3,1.0,Somewhat dissatisfied,5-10 years,0
3,1.0,Somewhat dissatisfied,More than 10 years,0
4,1.0,Very dissatisfied,Less than 1 year,0
4,1.0,Very dissatisfied,1-3 years,0
4,1.0,Very dissatisfied,3-5 years,0
4,1.0,Very dissatisfied,5-10 years,0
4,1.0,Very dissatisfied,More than 10 years,0
5,1.0,I don't know,Less than 1 year,0
5,1.0,I don't know,1-3 years,0
5,1.0,I don't know,3-5 years,0
5,1.0,I don't know,5-10 years,0
5,1.0,I don't know,More than 10 years,0
0,2.0,"Yes, I have been offered internal mobility opportunities within the organization.","Yes, regularly",0.046689450558483385
0,2.0,"Yes, I have been offered internal mobility opportunities within the organization.","Yes, occasionally",0.046689450558483385
0,2.0,"Yes, I have been offered internal mobility opportunities within the organization.","No, not really",0.0
0,2.0,"Yes, I have been offered internal mobility opportunities within the organization.","No, not at all",0.0
1,2.0,"No, I have not been offered internal mobility opportunities within the organization.","Yes, regularly",0
1,2.0,"No, I have not been offered internal mobility opportunities within the organization.","Yes, occasionally",0
1,2.0,"No, I have not been offered internal mobility opportunities within the organization.","No, not really",0.06135967792806904
1,2.0,"No, I have not been offered internal mobility opportunities within the organization.","No, not at all",0.06135967792806904
2,2.0,I don't know.,"Yes, regularly",0
2,2.0,I don't know.,"Yes, occasionally",0
2,2.0,I don't know.,"No, not really",0
2,2.0,I don't know.,"No, not at all",0
0,3.0,"Yes, I feel encouraged to apply for internal mobility opportunities within the organization.","Yes, successfully",0.0405487152208931
0,3.0,"Yes, I feel encouraged to apply for internal mobility opportunities within the organization.","Yes, unsuccessfully",0.0405487152208931
0,3.0,"Yes, I feel encouraged to apply for internal mobility opportunities within the organization.","No, not yet",0.0
1,3.0,"No, I don't feel encouraged to apply for internal mobility opportunities within the organization.","Yes, successfully",0
1,3.0,"No, I don't feel encouraged to apply for internal mobility opportunities within the organization.","Yes, unsuccessfully",0
1,3.0,"No, I don't feel encouraged to apply for internal mobility opportunities within the organization.","No, not yet",0.03807927913956097
2,3.0,I don't know.,"Yes, successfully",0
2,3.0,I don't know.,"Yes, unsuccessfully",0
2,3.0,I don't know.,"No, not yet",0
0,4.0,"Yes, internal mobility opportunities within the organization are accessible to me.","Yes, completely",0.046689450558483385
0,4.0,"Yes, internal mobility opportunities within the organization are accessible to me.","Yes, to some extent",0.06602885419955529
0,4.0,"Yes, internal mobility opportunities within the organization are accessible to me.","No, not really",0.0
0,4.0,"Yes, internal mobility opportunities within the organization are accessible to me.","No, not at all",0.0
1,4.0,"No, internal mobility opportunities within the organization are not accessible to me.","Yes, completely",0
1,4.0,"No, internal mobility opportunities within the organization are not accessible to me.","Yes, to some extent",0.04338784435436014
1,4.0,"No, internal mobility opportunities within the organization are not accessible to me.","No, not really",0.06135967792806904
1,4.0,"No, internal mobility opportunities within the organization are not accessible to me.","No, not at all",0.06135967792806904
2,4.0,I don't know.,"Yes, completely",0
2,4.0,I don't know.,"Yes, to some extent",0
2,4.0,I don't know.,"No, not really",0
2,4.0,I don't know.,"No, not at all",0
