QUESTIONNAIRE_ID,BLEU_SCORE,ROUGE_L_PRECISION,ROUGE_L_RECALL,ROUGE_L_F1
1146002,0.03697159725352105,0.2879818594104308,0.2879818594104308,0.2813325563325563
1146004,0.11057339698661788,0.40208957708957704,0.4020895770895771,0.39888031912876637
1173001,0.009962483224423016,0.3135185185185185,0.31351851851851853,0.29567309677515924
1173003,0.02793870638456971,0.31785353535353533,0.3178535353535354,0.31044331406650255
1173005,0.005949303788425685,0.21126373626373626,0.2112637362637363,0.2086592285867648
1213249,0.008452533806445915,0.40789473684210525,0.40789473684210525,0.3870967741935484
1433792,0.017294907410970093,0.24360670194003525,0.24360670194003525,0.23502118934029914
5100002,0.03455070245106174,0.2797852820580093,0.2797852820580093,0.27099991224849984
5100003,0.05415878287735414,0.3609758297258297,0.36097582972582976,0.35034455858213626
500000003,0.014722360665971237,0.1954621271585557,0.1954621271585557,0.18649596768926674
500000005,0.03660405248428211,0.2959595959595959,0.2959595959595959,0.29414141414141415
500100002,0.05426070120620775,0.33831678715257146,0.3383167871525715,0.32800931315804405
500100003,0.023164736953394622,0.27730302592144696,0.27730302592144696,0.27155470878076154
500100004,0.04508975714598726,0.3649002425044092,0.3649002425044091,0.36369877238394
500100005,0.01865954610732783,0.328502331002331,0.328502331002331,0.3235476829387169
500100007,0.01280691890820668,0.220391942485213,0.220391942485213,0.20816630299207375
500100009,0.01397196519558934,0.259857789269554,0.259857789269554,0.24853466450310888
500100010,0.026695565439297988,0.27739371739371743,0.27739371739371743,0.26838418032115524
500100011,0.022494336604173673,0.29760176166426167,0.29760176166426167,0.2899648945803281
500100013,0.057092553639758944,0.2921258809416704,0.2921258809416704,0.2854054601312666
500100014,0.011785218784814632,0.16432626311883275,0.16432626311883278,0.15979240837211597
500100015,0.018927925966699354,0.29203802733214496,0.292038027332145,0.28694329305935273
500100016,0.007911185232827444,0.23640873015873023,0.23640873015873018,0.22784037698492235
500100017,0.006734828405819503,0.22895589859875576,0.22895589859875573,0.22070607264582312
500100018,0.023580982805766093,0.27816500557406126,0.2781650055740613,0.2712809250873485
500100019,0.05571363742052172,0.3185374149659864,0.3185374149659864,0.3178998991985644
500100020,0.08384787604697258,0.3239947591940001,0.3239947591940002,0.3111214352889663
500100021,0.08764203502245335,0.43324786324786324,0.43324786324786324,0.432241075229581
500100023,0.009869957958613925,0.24756708238851097,0.2475670823885109,0.23907256733805204
500100024,0.16229706121448206,0.475633903133903,0.475633903133903,0.46608121306735323
500100025,0.029329685264589817,0.2569882498453927,0.2569882498453927,0.24617844113987003
