QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
1146002,0,"On a scale of 1 to 10, how stressed do you feel at work?",I don't feel 100% comfortable working with some of my colleagues.,0.1538461538461538,0.09875242943930372,0.001475923497872748
1146002,1,What are the most common stressors you experience at work?,The place where I use to work for most of my time is not really comfortable.,0.1538461538461538,0.058156129584701,0.003604109605251319
1146002,2,Do you feel that your workload is manageable?,I don't feel 100% comfortable working with some of my colleagues.,0.1,0.050517598343685285,0.0022643552274932226
1146002,3,Do you feel that you have the necessary resources and support to manage your workload?,I often feel overwhelmed by tasks which I'm not sure to complete in time,0.1333333333333333,0.10332258840323352,0.0009866815547383736
1146002,4,"On a scale of 1 to 10, how confident do you feel in your ability to manage stress at work?",I don't feel 100% comfortable working with some of my colleagues.,0.125,0.09782108908048757,0.0007930867289076571
1146002,5,What strategies do you use to manage stress at work?,The place where I use to work for most of my time is not really comfortable.,0.2307692307692307,0.11313374456231595,0.0034743837830550034
1146002,6,Do you feel that your employer provides adequate support for managing stress at work?,I don't feel 100% comfortable working with some of my colleagues.,0.1538461538461538,0.07079544019199188,0.002008869968330431
1146002,7,Any additional comments or feedback regarding stress at work?,I often work overtime and I don't have time for myself,0.0952380952380952,0.049221466364323486,0.0021780481269521312
1146004,0,How would you rate the overall cleanliness and organization of your workspace?,Working Environment,0.0,0.0,0.0
1146004,1,How often do you feel stressed or overwhelmed at work?,Working Environment,0.1666666666666666,0.04578754578754577,0.006128486897717663
1146004,2,What do you think is the most significant factor contributing to your job satisfaction?,Working Environment,0.0,0.0,0.0
1146004,3,How would you rate the level of trust and respect among colleagues and supervisors?,Colleagues,0.1333333333333333,0.019047619047619042,0.002539682539682539
1146004,4,What changes would you suggest to improve the workplace environment?,Working Environment,0.1666666666666666,0.0238095238095238,0.003968253968253965
1173001,0,Have you ever worked remotely?,Do you have a dedicated room or workspace where you can work at your home?,0.3,0.20819315445476433,0.0030330949540417276
1173001,1,What type of remote work have you done in the past? (Select all that apply),What would you recommend to improve for the near future?,0.24,0.13511173688455633,0.0029730639606990396
1173001,2,What do you think are the biggest benefits of remote working?,Rate the biggest difficulties you are experiencing while working from home (from the biggest)?,0.32,0.2310779510344727,0.0032535017166375533
1173001,3,What are some common challenges you've faced while working remotely?,How satisfied are you with your experience working from home?,0.2857142857142856,0.18423281066759323,0.0036760612490226788
1173001,4,How do you currently manage your time and prioritize tasks while working remotely?,How often do you exceed your regular scheduled time when working from home?,0.4615384615384615,0.23720506184636614,0.01043418640613556
1173002,0,How would you rate your overall satisfaction with your previous working relationship?,How satisfied are you with your experience working with us?,0.4545454545454545,0.20530449421753766,0.011697294897604195
1173002,1,What were the primary reasons for the end of your working relationship?,What strengths did you admire the most from your supervisor?,0.2727272727272727,0.16524593763724196,0.0078748665867744
1173002,2,How would you rate the communication and feedback provided by your previous manager or supervisor?,What strengths did you admire the most from your supervisor?,0.32,0.20183950027428285,0.003588619438845506
1173002,3,What did you find most valuable or rewarding about your previous working relationship?,What strengths did you admire the most from your supervisor?,0.4347826086956522,0.1729162431771127,0.013562646188253931
1173002,4,What could your previous employer or manager have done differently to improve the working relationship?,What would you recommend to improve ourselves for the near future?,0.3076923076923076,0.11932650280476365,0.005644676862418078
1173002,5,Any additional comments or suggestions regarding the end of your working relationship?,How satisfied are you with your experience working with us?,0.1818181818181818,0.10016066461718634,0.0028644875743877645
