QUESTIONNAIRE_ID,SAMPLE_QUESTIONNAIRE_ID,BLEU_SCORE,ROUGE_L_PRECISION,ROUGE_L_RECALL,ROUGE_L_F1
1146002,500100011,0.02239871553922701,0.17316468253968254,0.1329443330362448,0.14022014701226587
1146004,500100012,0.007360562200703301,0.21657142857142858,0.21457142857142855,0.21128623560347695
1173001,500100056,0.004389127451594905,0.14731934731934732,0.12617142857142857,0.12646613573793603
1173002,500100017,0.01376247270426233,0.16547619047619047,0.1909786641929499,0.1738201911087273
1173003,500100037,0.019471727024564397,0.15386904761904763,0.13530316409780693,0.13963127180169624
1173004,500100065,0.021272108196506108,0.1743764172335601,0.15070207570207572,0.15910832143260573
1173005,500100017,0.02663854759491182,0.20434704184704183,0.17903525046382188,0.18661758786217952
1213249,500100032,0.00645018681526605,0.1586489898989899,0.16879818676693678,0.16013855363599294
1433792,1173004,0.010301949746422135,0.26676968864468864,0.25833333333333336,0.24118954688163083
5100002,500100057,0.007728993345425798,0.13698979591836732,0.1731592789594938,0.14546746797707547
5100003,500100054,0.005875063818383569,0.13571428571428568,0.13986655892507477,0.13099702828112642
500000002,500100025,0.017521026067091234,0.18099747474747474,0.15850675796634442,0.1608915793232971
500000003,500100050,0.00880119294275228,0.20535714285714288,0.15920868347338935,0.17107080390448218
500000005,500100052,0.01731313093658598,0.1443104514533086,0.12098340435075129,0.12732741151227997
500100002,500100054,0.009236635893485858,0.15786079389020566,0.20661274240875413,0.16938598374215016
500100003,1173003,0.0058862969550769195,0.12956510809451985,0.17757816257816258,0.1459764657821406
500100004,500100017,0.019186236493158076,0.18336544407972977,0.20206069440763316,0.18681581007950585
500100005,500100015,0.009279733327403963,0.17358387799564273,0.1795143128476462,0.16815893347404617
500100006,500100056,0.005925229529883573,0.19361904761904764,0.18544126984126985,0.1804955291166667
500100007,500100016,0.007418116975515109,0.19643790849673207,0.18649350649350652,0.18206012312242645
500100009,500100019,0.01246853360942173,0.13299916457811195,0.10505581138310312,0.11124137860945703
500100010,500100034,0.011793882288231366,0.15068376068376074,0.15006313131313131,0.14921994005819833
500100012,500100061,0.006781583550381604,0.1435314685314685,0.16346031746031747,0.14512742120332986
500100013,500100007,0.012988628599943389,0.2016075293753865,0.1830211752533181,0.18663826728296812
500100014,500100040,0.009828124588876653,0.20463598901098903,0.17677583854054446,0.1858975598317062
500100015,500100020,0.046230548376196605,0.26323676323676326,0.21789248762932972,0.23665957163198664
500100016,500100010,0.016446047471927575,0.17186718020541553,0.15519885833121128,0.156665702907787
500100017,500100024,0.009663244605810715,0.14386169386169384,0.14990079365079365,0.14293539382655351
500100018,500100049,0.026210041298205488,0.18493937979232097,0.1459027470637378,0.16009699541209224
500100019,500100058,0.010643130649533688,0.13272426852859023,0.18053562084174332,0.15107366038386028
500100020,500100058,0.008705427012048171,0.12693327326549034,0.19230004689188362,0.14981687563587395
500100021,500100052,0.016997150080749125,0.1504329004329004,0.19192060584917725,0.16195361938860375
500100022,500100050,0.00774856341759764,0.2061196581196581,0.18861111111111112,0.19050200571291348
