QUESTIONNAIRE_ID,VARIABILITY
1146002,0.5
1146004,0.6
1173001,0.4
1173002,0.5
1173003,0.375
1173004,0.5
1173005,0.6666666666666666
1213249,0.6666666666666666
1433792,1.0
5100002,0.42857142857142855
5100003,0.6
500000002,0.5714285714285714
500000003,0.4
500000005,0.42857142857142855
500100002,0.5
500100003,0.6
500100004,0.42857142857142855
500100005,0.6666666666666666
500100006,0.6
500100007,0.4
500100009,0.5714285714285714
500100010,0.6
500100012,0.6
500100013,0.375
500100014,0.5
500100015,0.75
500100016,0.375
500100017,0.4
500100018,0.5
500100019,0.14285714285714285
500100020,0.14285714285714285
500100021,0.3333333333333333
500100022,0.4
500100023,0.375
500100024,0.2857142857142857
500100025,0.6666666666666666
500100026,0.375
500100027,0.8
500100028,0.8
500100030,0.3333333333333333
500100031,0.25
500100032,0.5
500100033,0.375
500100034,0.5714285714285714
500100035,0.2857142857142857
500100036,0.5714285714285714
500100038,0.375
500100039,0.5714285714285714
500100040,0.375
500100041,0.2857142857142857
500100042,0.5
500100043,0.4
500100044,0.6
500100046,0.5
500100047,0.375
500100048,0.5
500100049,0.5
500100050,0.7142857142857143
500100051,0.6
500100053,0.2857142857142857
500100054,0.375
500100056,0.5
500100057,0.8
500100058,0.375
500100059,0.6
500100060,0.42857142857142855
500100061,0.5
500100063,0.25
500100064,0.375
500100065,0.42857142857142855
500100066,0.25
