QUESTIONNAIRE_ID,VARIABILITY
1146002,0.14285714285714285
1146004,0.14285714285714285
1173003,0.5
1173004,1.0
1213249,1.0
500000005,0.4
500100002,0.125
500100003,0.125
500100004,0.375
500100005,0.25
500100006,0.125
500100008,0.125
500100009,0.14285714285714285
500100011,0.125
500100012,0.2
500100013,0.375
500100015,0.3333333333333333
500100016,0.4
500100017,0.7142857142857143
500100019,0.2857142857142857
500100020,0.4
500100021,0.6666666666666666
500100023,0.14285714285714285
500100024,0.16666666666666666
500100029,0.14285714285714285
500100030,0.16666666666666666
500100031,0.14285714285714285
500100032,0.125
500100033,0.14285714285714285
500100034,0.16666666666666666
500100035,0.16666666666666666
500100036,0.125
500100038,0.14285714285714285
500100040,0.16666666666666666
500100043,0.4
500100044,0.4
500100045,0.3333333333333333
500100047,0.6
500100049,0.16666666666666666
500100050,0.2
500100051,0.3333333333333333
500100052,0.14285714285714285
500100054,0.14285714285714285
500100056,0.2
500100058,0.42857142857142855
500100059,0.14285714285714285
500100060,0.2857142857142857
500100063,0.16666666666666666
500100064,0.2
500100065,0.14285714285714285
