QUESTIONNAIRE_ID,CONVERSION_ERROR,IS_JSON,ERROR_MESSAGE,GENERATED_QUESTIONNAIRES,QUESTIONS_WITH_MISSING_ANSWERS,NOT_UNIOUE_QUESTION_CODES,GENERATED_QUESTION_NUMBER,QUESTION_NUMBER_DEVIATION,QUESTION_NUMBER_DEVIATION_FROM_SAMPLE,AVERAGE_GENERATED_ANSWER_NUMBER,AVERAGE_ANSWER_NUMBER_DEVIATION
1146002,True,False,Unterminated string starting at: line 7 column 81 (char 2542),-1,-1,0,0,0,-1,0,0
1146004,True,False,Invalid \escape: line 1 column 54 (char 53),-1,-1,0,0,0,-1,0,0
1173001,True,False,Expecting ':' delimiter: line 1 column 168 (char 167),-1,-1,0,0,0,-1,0,0
1173002,True,False,Invalid \escape: line 1 column 57 (char 56),-1,-1,0,0,0,-1,0,0
1173003,True,False,Expecting property name enclosed in double quotes: line 1 column 48 (char 47),-1,-1,0,0,0,-1,0,0
1173004,True,False,Invalid \escape: line 1 column 136 (char 135),-1,-1,0,0,0,-1,0,0
1173005,True,False,Invalid \escape: line 1 column 136 (char 135),-1,-1,0,0,0,-1,0,0
1213249,True,False,Invalid control character at: line 1 column 255 (char 254),-1,-1,0,0,0,-1,0,0
1433792,True,False,Expecting ':' delimiter: line 1 column 71 (char 70),-1,-1,0,0,0,-1,0,0
5100002,True,False,Expecting property name enclosed in double quotes: line 1 column 92 (char 91),-1,-1,0,0,0,-1,0,0
5100003,True,False,Expecting ':' delimiter: line 1 column 173 (char 172),-1,-1,0,0,0,-1,0,0
500000002,True,False,Expecting property name enclosed in double quotes: line 1 column 99 (char 98),-1,-1,0,0,0,-1,0,0
500000003,True,False,"Expecting ',' delimiter: line 2 column 108 (char 281)",-1,-1,0,0,0,-1,0,0
500000005,True,False,Invalid \escape: line 1 column 134 (char 133),-1,-1,0,0,0,-1,0,0
500100002,True,False,Expecting ':' delimiter: line 1 column 108 (char 107),-1,-1,0,0,0,-1,0,0
500100003,True,False,Expecting ':' delimiter: line 1 column 43 (char 42),-1,-1,0,0,0,-1,0,0
500100004,True,False,Expecting property name enclosed in double quotes: line 1 column 110 (char 109),-1,-1,0,0,0,-1,0,0
500100005,True,False,Expecting property name enclosed in double quotes: line 1 column 110 (char 109),-1,-1,0,0,0,-1,0,0
500100006,True,False,Expecting property name enclosed in double quotes: line 1 column 140 (char 139),-1,-1,0,0,0,-1,0,0
500100007,True,False,Expecting property name enclosed in double quotes: line 1 column 73 (char 72),-1,-1,0,0,0,-1,0,0
500100008,True,False,Expecting property name enclosed in double quotes: line 2 column 1 (char 262),-1,-1,0,0,0,-1,0,0
500100009,True,False,Invalid \escape: line 1 column 107 (char 106),-1,-1,0,0,0,-1,0,0
500100010,True,False,Expecting ':' delimiter: line 2 column 1 (char 214),-1,-1,0,0,0,-1,0,0
500100011,True,False,Expecting property name enclosed in double quotes: line 1 column 45 (char 44),-1,-1,0,0,0,-1,0,0
500100012,True,False,Invalid \escape: line 1 column 69 (char 68),-1,-1,0,0,0,-1,0,0
500100013,True,False,Invalid \escape: line 1 column 166 (char 165),-1,-1,0,0,0,-1,0,0
500100014,True,False,Invalid \escape: line 1 column 74 (char 73),-1,-1,0,0,0,-1,0,0
500100015,True,False,Expecting property name enclosed in double quotes: line 1 column 74 (char 73),-1,-1,0,0,0,-1,0,0
500100016,True,False,Expecting ':' delimiter: line 1 column 153 (char 152),-1,-1,0,0,0,-1,0,0
500100017,True,False,Expecting property name enclosed in double quotes: line 1 column 82 (char 81),-1,-1,0,0,0,-1,0,0
500100018,True,False,Expecting property name enclosed in double quotes: line 1 column 82 (char 81),-1,-1,0,0,0,-1,0,0
500100019,True,False,Expecting property name enclosed in double quotes: line 1 column 48 (char 47),-1,-1,0,0,0,-1,0,0
500100020,True,False,Expecting property name enclosed in double quotes: line 1 column 67 (char 66),-1,-1,0,0,0,-1,0,0
500100021,True,False,Expecting property name enclosed in double quotes: line 1 column 111 (char 110),-1,-1,0,0,0,-1,0,0
500100022,True,False,Expecting property name enclosed in double quotes: line 1 column 123 (char 122),-1,-1,0,0,0,-1,0,0
500100023,True,False,Expecting property name enclosed in double quotes: line 1 column 80 (char 79),-1,-1,0,0,0,-1,0,0
500100024,True,False,Expecting property name enclosed in double quotes: line 1 column 93 (char 92),-1,-1,0,0,0,-1,0,0
