QUESTIONNAIRE_ID,QST_ROUGE_SCORE_MEAN,QST_ROUGE_SCORE_VAR,ASW_ROUGE_SCORE_MEAN,ASW_ROUGE_SCORE_VAR
1146002,,,,
1146004,,,,
1173001,,,,
1173002,,,,
1173003,,,,
1173004,,,,
1173005,,,,
1213249,,,,
1433792,,,,
5100002,0.34323833881378635,0.004700345529812798,0.0,0.0
5100003,,,,
500000002,,,,
500000003,,,,
500000005,,,,
500100002,,,,
500100003,,,,
500100004,,,,
500100005,,,,
500100006,,,,
500100007,0.3567919799498746,0.004590724932632336,0.021739130434782608,0.010869565217391308
500100008,,,,
500100009,,,,
500100010,,,,
500100011,,,,
500100012,,,,
500100013,,,,
500100014,,,,
500100015,,,,
500100016,,,,
500100017,,,,
500100018,,,,
500100019,,,,
500100020,0.30370370370370364,0.005442493998628265,0.04095860566448801,0.0072553291469093055
500100021,,,,
500100022,0.44958041958041955,0.03196086469862695,0.3333333333333333,0.24242424242424246
500100023,,,,
500100024,0.2883701006639537,0.006620835468506296,0.05555555555555555,0.05555555555555556
500100025,0.42378952569169953,0.005237931221911507,0.0,0.0
500100026,0.5335497835497836,0.011811060512359218,0.047619047619047616,0.014652014652014652
500100027,,,,
500100028,,,,
500100029,,,,
500100030,,,,
500100031,0.39418262896523765,0.002504818083757103,0.0375,0.028125000000000015
500100032,,,,
500100033,,,,
500100034,0.5223645320197043,0.014879654444417478,0.0,0.0
500100035,,,,
500100036,,,,
500100037,0.4811973098418112,0.016227342240691937,0.017857142857142856,0.00510204081632653
500100038,0.46984126984126984,0.008635256571764508,0.11071428571428572,0.05114285714285715
500100039,,,,
500100040,,,,
500100041,0.35978835978835977,0.016460905349794244,0.0,0.0
500100042,,,,
500100043,0.4371326164874552,0.06142681620225847,0.0,0.0
500100044,,,,
500100045,,,,
500100046,,,,
500100047,,,,
500100048,,,,
500100049,,,,
500100050,0.3423076923076923,0.009491562568485653,0.14285714285714285,0.1318681318681319
500100051,,,,
500100052,,,,
500100053,,,,
500100054,,,,
500100055,,,,
500100056,,,,
500100057,,,,
500100058,,,,
500100059,,,,
500100060,,,,
500100061,,,,
500100062,,,,
500100063,0.3298462064251537,0.0014593995825018958,0.045,0.019447368421052633
500100064,,,,
500100065,,,,
500100066,,,,
