QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,RL_F1_SCORE,RL_F1_SCORE_MEAN,RL_F1_SCORE_VAR
1146004,0,How would you describe the overall cleanliness of your workplace?,Working Environment,0.0,0.0,0.0
1146004,1,How noisy is your workplace?,Working Environment,0.0,0.0,0.0
1146004,2,How comfortable is the temperature in your workplace?,Working Environment,0.0,0.0,0.0
1146004,3,How would you rate the availability of natural light in your workplace?,Working Environment,0.0,0.0,0.0
1146004,4,How would you rate the overall quality of the furniture in your workplace?,Working Environment,0.0,0.0,0.0
500000002,0,"Overall, how satisfied are you with your job?",I am satisfied with the job-related training my organization offers.,0.3157894736842105,0.099609547766475,0.015078129418567619
500000002,1,Do you feel that your skills and abilities are being fully utilized?,Ã¯Â¿Â½I feel completely involved in my work.,0.1052631578947368,0.021643359606746324,0.0015355851527867025
500000002,2,Do you feel supported and encouraged by your manager?,Ã¯Â¿Â½I feel completely involved in my work.,0.125,0.038555592691622086,0.002726013203956836
500000002,3,Do you feel that your work environment is safe and free from harm?,Ã¯Â¿Â½I feel completely involved in my work.,0.2,0.05054632867132866,0.003512264263606671
500000002,4,Do you feel that your opinions and ideas are valued and respected?,Ã¯Â¿Â½I feel completely involved in my work.,0.1052631578947368,0.021643359606746324,0.0015355851527867025
500000002,5,Do you feel that your work contributes to a larger goal or purpose?,Ã¯Â¿Â½I feel completely involved in my work.,0.2,0.05189393939393939,0.004711427821817432
500100006,0,Do you offer any benefits to your employees?,Do you feel that the benefits provided adequately meet your needs?,0.4210526315789474,0.23925099859052384,0.00789071695907373
500100006,1,What type of benefits do you offer?,Which of the following benefits do you find most valuable? (Select all that apply),0.3809523809523809,0.21650482663382556,0.014916034292678734
500100006,2,How satisfied are you with the benefits program?,"On a scale of 1 to 10, how satisfied are you with the benefits provided by the company? (1 being very dissatisfied, 10 being very satisfied)",0.411764705882353,0.24110581159084768,0.005810301323796644
500100006,3,How do you measure the success of your benefits program?,Do you feel that the benefits provided adequately meet your needs?,0.380952380952381,0.22787619759397026,0.007018711021981034
500100007,0,What is your overall job satisfaction?,What is your role in the company?,0.4615384615384615,0.07558656881965152,0.01480973557621089
500100007,1,Do you feel that your skills and abilities are being fully utilized?,Do you feel that opportunities for career growth and advancement within the company are effectively communicated?,0.4285714285714285,0.18028420044111443,0.010750264835835747
500100007,2,Do you have opportunities for professional growth and advancement?,Do you feel that opportunities for career growth and advancement within the company are effectively communicated?,0.56,0.19671808205056288,0.018159240372965516
500100007,3,Do you feel valued and supported by your employer?,Do you feel that the training and development opportunities provided align with your career goals?,0.4166666666666667,0.1999737756323434,0.01006680218608742
500100007,4,Do you feel like you have a work-life balance?,Do you have any additional comments or feedback regarding career development?,0.2857142857142856,0.13672987812739362,0.006835464470892
500100007,5,Do you feel that your job is secure?,Do you feel that the training and development opportunities provided align with your career goals?,0.4347826086956521,0.18252313639286502,0.009129669040170983
