QUESTIONNAIRE_ID,VARIABILITY
1146002,0.14285714285714285
1146004,0.42857142857142855
1173003,0.5
1173004,1.0
1173005,0.75
1213249,1.0
500000005,0.2
500100002,0.5
500100006,0.375
500100009,0.14285714285714285
500100010,0.125
500100012,0.2
500100015,0.16666666666666666
500100016,0.8
500100017,1.0
500100019,0.2857142857142857
500100020,0.4
500100021,0.5
500100022,0.5714285714285714
500100029,0.14285714285714285
500100031,0.14285714285714285
500100033,0.14285714285714285
500100034,0.16666666666666666
500100035,0.3333333333333333
500100043,0.6
500100044,0.2
500100046,0.16666666666666666
500100047,0.2
500100048,0.625
500100051,0.3333333333333333
500100056,1.0
500100057,0.2857142857142857
500100058,0.2857142857142857
500100059,0.14285714285714285
500100060,0.14285714285714285
500100061,0.5
500100063,0.6666666666666666
500100064,0.6
500100065,0.14285714285714285
