EXPERIMENT_ID,AVG_QST_TYPE_VARIABILITY
1s_FULL_mistral-7x22B_4000MT_0T_0FP,0.1428571428571428
0s_mistral-7x22B_4000MT_0.25T_0FP,0.2760416666666667
0s_FULL_mistral-7x22B_4000MT_0.25T_0.5FP,0.6666666666666666
0s_FULL_mistral-7x22B_4000MT_0.25T_0FP,0.27888726919339163
1s_mistral-7x22B_4000MT_0T_0FP,0.2797619047619047
0s_mistral-7x22B_4000MT_0T_0FP,0.3833333333333333
1s_FULL_mistral-7x22B_4000MT_0.5T_0FP,0.1547619047619047
0s_FULL_mistral-7x22B_4000MT_0.5T_0FP,0.4079059829059828
0s_mistral-7x22B_4000MT_0.5T_0FP,0.28593749999999996
1s_mistral-7x22B_4000MT_0.5T_0FP,0.3125
0s_FULL_mistral-7x22B_4000MT_0T_0FP,0.2807380952380952
1s_mistral-7x22B_4000MT_0.25T_0FP,0.3571428571428571
1s_FULL_mistral-7x22B_4000MT_0.25T_0FP,0.1666666666666666
