QUESTIONNAIRE_ID,VARIABILITY
1146002,0.42857142857142855
1173001,0.625
1173002,0.5
1173003,0.6666666666666666
1173005,0.75
1213249,1.0
5100002,0.5
5100003,0.5
500000002,0.5
500000003,0.25
500000005,0.8
500100002,0.375
500100004,0.375
500100005,0.625
500100006,0.375
500100007,0.375
500100008,0.375
500100009,0.42857142857142855
500100010,0.375
500100011,0.25
500100013,0.5
500100014,0.25
500100015,0.6666666666666666
500100016,0.6
500100017,0.7142857142857143
500100018,0.375
500100019,0.42857142857142855
500100020,0.8
500100021,0.5
500100022,0.42857142857142855
500100023,0.14285714285714285
500100024,0.16666666666666666
500100025,0.25
500100026,0.375
500100028,0.42857142857142855
500100029,0.42857142857142855
500100030,0.5
500100031,0.42857142857142855
500100032,0.25
500100033,0.2857142857142857
500100034,0.6666666666666666
500100035,0.5
500100036,0.375
500100037,0.375
500100038,0.5714285714285714
500100039,0.42857142857142855
500100041,0.375
500100042,0.25
500100043,0.6
500100044,0.8
500100046,0.5
500100047,0.8
500100048,0.2857142857142857
500100049,0.6666666666666666
500100050,0.6
500100053,0.375
500100055,0.5
500100056,0.8
500100057,0.5714285714285714
500100058,0.42857142857142855
500100059,0.42857142857142855
500100060,0.5714285714285714
500100062,0.25
500100063,0.5
500100064,0.6
500100066,0.42857142857142855
