QUESTIONNAIRE_ID,BLEU_SCORE,ROUGE_L_PRECISION,ROUGE_L_RECALL,ROUGE_L_F1
1146004,0.02375788956904675,0.4527777777777778,0.4527777777777778,0.45088235294117646
500000002,0.04547481527163884,0.31019588050838054,0.31019588050838054,0.3046415738254194
500000003,0.15798288664525578,0.45874125874125865,0.4587412587412587,0.454001554001554
500100002,0.09349468420292235,0.45468437937478184,0.45468437937478184,0.4472194262683695
500100006,0.00894417202975684,0.23480352980352975,0.23480352980352986,0.22958136544958457
500100007,0.03265486938841913,0.3035483035483035,0.3035483035483036,0.29931105931105934
500100008,0.19391957145545732,0.5118515037593986,0.5118515037593985,0.5070593132357838
500100009,0.13529483692761574,0.4364718614718614,0.4364718614718615,0.423743499563574
500100012,0.010308185345857044,0.21194444444444444,0.21194444444444444,0.2105529755761954
500100035,0.2547639433612812,0.617027417027417,0.617027417027417,0.5963538212487792
500100051,0.05649652366485399,0.424955253080253,0.424955253080253,0.4200766283524904
500100055,0.0187871226317117,0.4101190476190476,0.4101190476190476,0.3954116059379217
500100063,0.043765734056897654,0.5364357864357864,0.5364357864357864,0.5254458917838915
500100064,0.0349096495159683,0.38425925925925924,0.38425925925925924,0.36840247013621624
500100065,0.22818680777794323,0.6940587190587192,0.6940587190587191,0.6891651558318226
500100066,0.1867154221400086,0.5981481481481481,0.5981481481481481,0.583068783068783
