QUESTIONNAIRE_ID,ASW_ROUGE_SCORE_MEAN,ASW_ROUGE_SCORE_VAR,QST_ROUGE_SCORE_MEAN,QST_ROUGE_SCORE_VAR
1146002,,,,
1146004,,,,
1173001,,,,
1173002,,,,
1173003,,,,
1173004,,,,
1173005,0.19999999999999998,0.04814814814814814,0.292156862745098,0.01065516112036681
1213249,0.0,0.0,0.3716666666666667,0.08960555555555558
1433792,,,,
5100002,,,,
5100003,,,,
500000002,,,,
500000003,0.008333333333333333,0.002083333333333333,0.13836883876357559,0.004669589631276744
500000005,0.15384615384615385,0.141025641025641,0.35064935064935066,0.02038708045201552
500100002,,,,
500100003,,,,
500100004,,,,
500100005,,,,
500100006,,,,
500100007,,,,
500100008,,,,
500100009,0.03333333333333333,0.03333333333333332,0.23699909256631946,0.0020064057575016
500100010,,,,
500100011,,,,
500100012,0.0,0.0,0.3207586206896552,0.006723567181926282
500100013,,,,
500100014,0.0,0.0,0.3326482929443833,0.0033803081152661307
500100015,,,,
500100016,,,,
500100017,,,,
500100018,,,,
500100019,,,,
500100020,,,,
500100021,,,,
500100022,,,,
500100023,,,,
500100024,,,,
500100025,,,,
500100026,,,,
500100027,,,,
500100028,,,,
500100029,,,,
500100030,,,,
500100031,,,,
500100032,,,,
500100033,,,,
500100034,,,,
500100035,,,,
500100036,,,,
500100037,,,,
500100038,,,,
500100039,,,,
500100040,,,,
500100041,,,,
500100042,,,,
500100043,,,,
500100044,,,,
500100045,,,,
500100046,,,,
500100047,0.14242424242424243,0.06313131313131312,0.37026076630081073,0.014539783804506167
500100048,,,,
500100049,,,,
500100050,,,,
500100051,0.045,0.019447368421052633,0.2014766507438921,0.006406966399951761
500100052,0.17058823529411765,0.07803921568627452,0.2462978400909435,0.017073251073478724
500100053,,,,
500100054,0.1611111111111111,0.07506535947712417,0.17399838878855006,0.014920284225173596
500100055,0.0,0.0,0.5092965367965369,0.03854193020183283
500100056,,,,
500100057,,,,
500100058,,,,
500100059,,,,
500100060,,,,
500100061,,,,
500100062,,,,
500100063,0.014492753623188404,0.004830917874396135,0.3877926777352065,0.0020656746682238083
500100064,,,,
500100065,,,,
500100066,,,,
