QUESTIONNAIRE_ID,ASW_ROUGE_SCORE_MEAN,ASW_ROUGE_SCORE_VAR,QST_ROUGE_SCORE_MEAN,QST_ROUGE_SCORE_VAR
1146002,,,,
1146004,0.2,0.16551724137931037,0.0,0.0
1173001,,,,
1173002,,,,
1173003,,,,
1173004,,,,
1173005,,,,
1213249,,,,
1433792,,,,
5100002,,,,
5100003,,,,
500000002,0.10256410256410256,0.060170940170940164,0.17660818713450288,0.007293868198762013
500000003,,,,
500000005,,,,
500100002,,,,
500100003,,,,
500100004,,,,
500100005,,,,
500100006,0.13636096413874194,0.06100626184841352,0.4293822434875067,0.014904211854689483
500100007,0.03333333333333333,0.03333333333333333,0.4175363525363525,0.01797910323849385
500100008,,,,
500100009,,,,
500100010,,,,
500100011,,,,
500100012,0.05,0.04999999999999999,0.23426906426906424,0.007269116963622457
500100013,,,,
500100014,,,,
500100015,,,,
500100016,,,,
500100017,,,,
500100018,,,,
500100019,,,,
500100020,,,,
500100021,,,,
500100022,,,,
500100023,,,,
500100024,,,,
500100025,,,,
500100026,,,,
500100027,,,,
500100028,,,,
500100029,,,,
500100030,,,,
500100031,,,,
500100032,,,,
500100033,,,,
500100034,,,,
500100035,,,,
500100036,,,,
500100037,0.0,0.0,0.23069469660774006,0.0042617058979160394
500100038,,,,
500100039,,,,
500100040,,,,
500100041,,,,
500100042,,,,
500100043,,,,
500100044,,,,
500100045,,,,
500100046,,,,
500100047,0.19238095238095237,0.04760544217687075,0.5168087999011247,0.013332533966118092
500100048,,,,
500100049,,,,
500100050,,,,
500100051,0.0,0.0,0.4910719321001578,0.019084350270560296
500100052,0.0,0.0,0.4364285714285714,0.014451020408163257
500100053,0.22,0.0840952380952381,0.3635930735930736,0.025523425348100676
500100054,0.0,0.0,0.31381878990574635,0.006536613764527629
500100055,0.15,0.13421052631578947,0.5844919786096257,0.06038777202665217
500100056,,,,
500100057,,,,
500100058,,,,
500100059,,,,
500100060,,,,
500100061,,,,
500100062,,,,
500100063,0.06666666666666667,0.0462962962962963,0.38209038601195466,0.000328258993164339
500100064,0.7368421052631579,0.2046783625730994,0.3686787514276995,0.030266922818324528
500100065,0.16666666666666666,0.07407407407407408,0.36196172248803826,0.017684411478166205
500100066,0.05,0.04999999999999999,0.323076923076923,0.002419460880999342
