QUESTIONNAIRE_ID,CONVERSION_ERROR,IS_JSON,ERROR_MESSAGE,GENERATED_QUESTIONNAIRES,QUESTIONS_WITH_MISSING_ANSWERS,NOT_UNIOUE_QUESTION_CODES,GENERATED_QUESTION_NUMBER,QUESTION_NUMBER_DEVIATION,QUESTION_NUMBER_DEVIATION_FROM_SAMPLE,AVERAGE_GENERATED_ANSWER_NUMBER,AVERAGE_ANSWER_NUMBER_DEVIATION
1146002,True,False,"Expecting ',' delimiter: line 1 column 2226 (char 2225)",-1,-1,0,0,0,-1,0,0
1146004,True,False,"Expecting ',' delimiter: line 1 column 2116 (char 2115)",-1,-1,0,0,0,-1,0,0
1173001,True,False,"Expecting ',' delimiter: line 1 column 3401 (char 3400)",-1,-1,0,0,0,-1,0,0
1173002,True,False,"Expecting ',' delimiter: line 1 column 3222 (char 3221)",-1,-1,0,0,0,-1,0,0
1173003,True,False,"Expecting ',' delimiter: line 1 column 1412 (char 1411)",-1,-1,0,0,0,-1,0,0
1173004,True,False,"Expecting ',' delimiter: line 1 column 834 (char 833)",-1,-1,0,0,0,-1,0,0
1173005,True,False,"Expecting ',' delimiter: line 1 column 1272 (char 1271)",-1,-1,0,0,0,-1,0,0
1213249,True,False,"Expecting ',' delimiter: line 1 column 715 (char 714)",-1,-1,0,0,0,-1,0,0
1433792,True,False,"Expecting ',' delimiter: line 10 column 321 (char 3119)",-1,-1,0,0,0,-1,0,0
5100002,True,False,"Expecting ',' delimiter: line 275 column 1 (char 3958)",-1,-1,0,0,0,-1,0,0
5100003,True,False,"Expecting ',' delimiter: line 1 column 2142 (char 2141)",-1,-1,0,0,0,-1,0,0
500000002,True,False,"Expecting ',' delimiter: line 1 column 3487 (char 3486)",-1,-1,0,0,0,-1,0,0
500000003,True,False,"Expecting ',' delimiter: line 1 column 2214 (char 2213)",-1,-1,0,0,0,-1,0,0
500000005,False,True,,1,-1,0,5,0,-1,3.8,0.0
500100002,True,False,"Expecting ',' delimiter: line 1 column 2910 (char 2909)",-1,-1,0,0,0,-1,0,0
500100003,True,False,"Expecting ',' delimiter: line 1 column 3044 (char 3043)",-1,-1,0,0,0,-1,0,0
500100004,True,False,"Expecting ',' delimiter: line 116 column 3 (char 2507)",-1,-1,0,0,0,-1,0,0
