QUESTIONNAIRE_ID,ASW_BLEU_SCORE_MEAN,ASW_BLEU_SCORE_VAR,QST_BLEU_SCORE_MEAN,QST_BLEU_SCORE_VAR
1146002,,,,
1146004,,,,
1173001,,,,
1173002,,,,
1173003,,,,
1173004,,,,
1173005,,,,
1213249,,,,
1433792,,,,
5100002,,,,
5100003,,,,
500000002,,,,
500000003,,,,
500000005,0.13333333333333333,0.12380952380952377,0.10815470953132444,0.0034474534296577613
500100002,,,,
500100003,,,,
500100004,,,,
500100005,,,,
500100006,,,,
500100007,,,,
500100008,,,,
500100009,,,,
500100010,,,,
500100011,,,,
500100012,,,,
500100013,,,,
500100014,,,,
500100015,,,,
500100016,,,,
500100017,,,,
500100018,,,,
500100019,,,,
500100020,,,,
500100021,,,,
500100022,,,,
500100023,,,,
500100024,,,,
500100025,,,,
500100026,,,,
500100027,,,,
500100028,,,,
500100029,,,,
500100030,,,,
500100031,,,,
500100032,,,,
500100033,,,,
500100034,,,,
500100035,,,,
500100036,,,,
500100037,,,,
500100038,,,,
500100039,,,,
500100040,,,,
500100041,,,,
500100042,,,,
500100043,,,,
500100044,,,,
500100045,,,,
500100046,,,,
500100047,0.28102747842549197,0.1928724904085191,0.28834493064515326,0.07796466270691414
500100048,,,,
500100049,,,,
500100050,,,,
500100051,,,,
500100052,,,,
500100053,,,,
500100054,,,,
500100055,0.014893189644236129,0.002657064192146454,0.2997375858549775,0.0307282681061811
500100056,,,,
500100057,,,,
500100058,,,,
500100059,,,,
500100060,,,,
500100061,,,,
500100062,,,,
500100063,,,,
500100064,,,,
500100065,,,,
500100066,,,,
