EXPERIMENT_ID,AVG_QST_TYPE_VARIABILITY
0s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,0.6232804232804232
0s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.4447709463532248
0s_FULL_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.4387884267631105
0s_FULL_gpt-35-turbo-dev_6000MT_0.5T_1FP,0.8333333333333333
0s_FULL_gpt-35-turbo-dev_6000MT_0T_0.5FP,0.5578754578754579
0s_FULL_gpt-35-turbo-dev_6000MT_0T_0FP,0.4333785412899337
0s_FULL_gpt-35-turbo-dev_6000MT_0T_1FP,0.6666666666666666
0s_FULL_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,0.7334208683473389
0s_FULL_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.6326100060277275
0s_FULL_gpt-4-dev_4000MT_0.5T_0FP_JSON,0.6179639804639804
0s_FULL_gpt-4-dev_4000MT_0.5T_1FP_JSON,0.8842592592592591
0s_FULL_gpt-4-dev_4000MT_0T_0.5FP_JSON,0.6986031746031747
0s_FULL_gpt-4-dev_4000MT_0T_0FP_JSON,0.6148884870403857
0s_FULL_gpt-4-dev_4000MT_0T_1FP_JSON,0.8363095238095237
0s_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,0.6283333333333333
0s_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.5430078360458108
0s_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.5158830620855938
0s_gpt-35-turbo-dev_6000MT_0.5T_1FP,1.0
0s_gpt-35-turbo-dev_6000MT_0T_0.5FP,0.713768115942029
0s_gpt-35-turbo-dev_6000MT_0T_0FP,0.5163652802893307
0s_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,0.7652641878669275
0s_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.5940012368583796
0s_gpt-4-dev_4000MT_0.5T_0FP_JSON,0.6030219780219779
0s_gpt-4-dev_4000MT_0.5T_1FP_JSON,0.8559322033898306
0s_gpt-4-dev_4000MT_0T_0.5FP_JSON,0.7294413919413919
0s_gpt-4-dev_4000MT_0T_0FP_JSON,0.6149638336347196
0s_gpt-4-dev_4000MT_0T_1FP_JSON,0.8146551724137929
1s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,0.5529640427599611
1s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.4337606837606838
1s_FULL_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.4573538276069922
1s_FULL_gpt-35-turbo-dev_6000MT_0.5T_1FP,0.7388888888888889
1s_FULL_gpt-35-turbo-dev_6000MT_0T_0.5FP,0.5343073593073593
1s_FULL_gpt-35-turbo-dev_6000MT_0T_0FP,0.4240842490842491
1s_FULL_gpt-35-turbo-dev_6000MT_0T_1FP,0.769642857142857
1s_FULL_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,0.5230889724310777
1s_FULL_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.4762959614225437
1s_FULL_gpt-4-dev_4000MT_0.5T_0FP_JSON,0.4591772151898734
1s_FULL_gpt-4-dev_4000MT_0.5T_1FP_JSON,0.7566137566137565
1s_FULL_gpt-4-dev_4000MT_0T_0.5FP_JSON,0.5344155844155843
1s_FULL_gpt-4-dev_4000MT_0T_0FP_JSON,0.46262808921036774
1s_FULL_gpt-4-dev_4000MT_0T_1FP_JSON,0.7446009389671361
1s_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,0.5218774395003904
1s_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.462823990355636
1s_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.44210367691380353
1s_gpt-35-turbo-dev_6000MT_0.5T_1FP,0.7822916666666666
1s_gpt-35-turbo-dev_6000MT_0T_0.5FP,0.5471781305114638
1s_gpt-35-turbo-dev_6000MT_0T_0FP,0.43008241758241755
1s_gpt-35-turbo-dev_6000MT_0T_1FP,0.6958333333333333
1s_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,0.5579887218045112
1s_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.44602169981916817
1s_gpt-4-dev_4000MT_0.5T_0FP_JSON,0.47183544303797464
1s_gpt-4-dev_4000MT_0.5T_1FP_JSON,0.7621693121693122
1s_gpt-4-dev_4000MT_0T_0.5FP_JSON,0.5883174603174602
1s_gpt-4-dev_4000MT_0T_0FP_JSON,0.4386377335744425
1s_gpt-4-dev_4000MT_0T_1FP_JSON,0.7536723163841809
