EXPERIMENT_ID,AVG_SERENDIPITY_SCORE
0s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,0.6835978835978835
0s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.7724286262260945
0s_FULL_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.7523215883975376
0s_FULL_gpt-35-turbo-dev_6000MT_0.5T_1FP,0.8333333333333333
0s_FULL_gpt-35-turbo-dev_6000MT_0T_0.5FP,0.7699633699633701
0s_FULL_gpt-35-turbo-dev_6000MT_0T_0FP,0.756341900012786
0s_FULL_gpt-35-turbo-dev_6000MT_0T_1FP,0.6666666666666666
0s_FULL_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,0.8131944444444444
0s_FULL_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.8227126600544321
0s_FULL_gpt-4-dev_4000MT_0.5T_0FP_JSON,0.8513357013357015
0s_FULL_gpt-4-dev_4000MT_0.5T_1FP_JSON,0.7854938271604937
0s_FULL_gpt-4-dev_4000MT_0T_0.5FP_JSON,0.8108677248677247
0s_FULL_gpt-4-dev_4000MT_0T_0FP_JSON,0.8403935375454361
0s_FULL_gpt-4-dev_4000MT_0T_1FP_JSON,0.8258928571428571
0s_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,0.8508333333333333
0s_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.7969258589511753
0s_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.7770293349407272
0s_gpt-35-turbo-dev_6000MT_0.5T_1FP,0.6666666666666666
0s_gpt-35-turbo-dev_6000MT_0T_0.5FP,0.6768115942028986
0s_gpt-35-turbo-dev_6000MT_0T_0FP,0.7781444645368695
0s_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,0.8116764514024787
0s_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.818346732632447
0s_gpt-4-dev_4000MT_0.5T_0FP_JSON,0.8387667887667888
0s_gpt-4-dev_4000MT_0.5T_1FP_JSON,0.8700564971751411
0s_gpt-4-dev_4000MT_0T_0.5FP_JSON,0.8404151404151404
0s_gpt-4-dev_4000MT_0T_0FP_JSON,0.8347799879445449
0s_gpt-4-dev_4000MT_0T_1FP_JSON,0.8721264367816091
1s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,0.8011078042328043
1s_FULL_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.7738932363932364
1s_FULL_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.7937795678302006
1s_FULL_gpt-35-turbo-dev_6000MT_0.5T_1FP,0.85
1s_FULL_gpt-35-turbo-dev_6000MT_0T_0.5FP,0.7927225056689343
1s_FULL_gpt-35-turbo-dev_6000MT_0T_0FP,0.7859515484515485
1s_FULL_gpt-35-turbo-dev_6000MT_0T_1FP,0.7861111111111111
1s_FULL_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,0.8266551796157059
1s_FULL_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.8588096151387289
1s_FULL_gpt-4-dev_4000MT_0.5T_0FP_JSON,0.8419858622390267
1s_FULL_gpt-4-dev_4000MT_0.5T_1FP_JSON,0.8595238095238094
1s_FULL_gpt-4-dev_4000MT_0T_0.5FP_JSON,0.8078952793238506
1s_FULL_gpt-4-dev_4000MT_0T_0FP_JSON,0.8493807879883827
1s_FULL_gpt-4-dev_4000MT_0T_1FP_JSON,0.8
1s_gpt-35-turbo-dev_6000MT_0.25T_0.5FP,0.8093253968253967
1s_gpt-35-turbo-dev_6000MT_0.25T_0FP,0.803294595699659
1s_gpt-35-turbo-dev_6000MT_0.5T_0FP,0.8111426196869232
1s_gpt-35-turbo-dev_6000MT_0.5T_1FP,0.7458333333333333
1s_gpt-35-turbo-dev_6000MT_0T_0.5FP,0.7796516754850088
1s_gpt-35-turbo-dev_6000MT_0T_0FP,0.8333633958633959
1s_gpt-35-turbo-dev_6000MT_0T_1FP,0.8041666666666668
1s_gpt-4-dev_4000MT_0.25T_0.5FP_JSON,0.8122807017543859
1s_gpt-4-dev_4000MT_0.25T_0FP_JSON,0.8375527426160339
1s_gpt-4-dev_4000MT_0.5T_0FP_JSON,0.8581319524357499
1s_gpt-4-dev_4000MT_0.5T_1FP_JSON,0.7986979166666667
1s_gpt-4-dev_4000MT_0T_0.5FP_JSON,0.810935545935546
1s_gpt-4-dev_4000MT_0T_0FP_JSON,0.8511101064898533
1s_gpt-4-dev_4000MT_0T_1FP_JSON,0.8471751412429379
